Name,Description
Polyphenols in Plants,"Agricultural, Biological, and Food Sciences 2014"
Key Chiral Auxiliary Applications (Second Edition),Chemistry 2014
Relevance Ranking for Vertical Search Engines,Computer Science 2014
Commercial Data Mining,Computer Science 2014
Object-Oriented Analysis and Design for Information Systems,Computer Science 2014
Product Design Modeling Using CAD/CAE,Engineering 2014
Elasticity (Third Edition),Engineering 2014
"Drinking Water Security for Engineers, Planners, and Managers",Engineering 2014
Nuclear Energy (Seventh Edition),Engineering 2014
Piping and Pipeline Calculations Manual (Second Edition),Engineering 2014
Biomarkers in Toxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Drug Stability for Pharmaceutical Scientists,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Polymer Testing (Second Edition),Plastics Engineering Hanser 2014
Atlas of Chick Development (Third Edition),"Biochemistry, Genetics and Molecular Biology 2014"
Stem Cells (Second Edition),"Biochemistry, Genetics and Molecular Biology 2014"
Rare Diseases and Orphan Drugs,Biomedical Science and Medicine 2014
Heterogeneous Catalytic Materials,Chemical Engineering 2014
Braking of Road Vehicles,Engineering 2014
Friction Stir Superplasticity for Unitized Structures,Engineering 2014
High Performance Silicon Imaging,Engineering 2014
Advanced Composites in Bridge Construction and Repair,Engineering 2014
"Sensor Technologies for Civil Infrastructures, Volume 2",Engineering 2014
Miscarriages of Justice,"Forensics, Security, and Criminal Justice 2014"
Security Leader Insights for Effective Management,"Forensics, Security, and Criminal Justice 2014"
Security Leader Insights for Information Protection,"Forensics, Security, and Criminal Justice 2014"
From Molecules to Networks (Third Edition),Neuroscience 2014
Development of Auditory and Vestibular Systems,Neuroscience 2014
History of Toxicology and Environmental Health,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Principles of Electromagnetic Methods in Surface Geophysics,Earth and Planetary Sciences 2014
Spectrophotometry,Physics and Astronomy 2014
Nanoscience and the Environment,Materials Science 2014
Preservation and Shelf Life Extension,"Agricultural, Biological, and Food Sciences 2014"
Clinical Decision Support (Second Edition),"Biochemistry, Genetics and Molecular Biology 2014"
Wheat and Rice in Disease Prevention and Health,Biomedical Science and Medicine 2014
Cancer Theranostics,Biomedical Science and Medicine 2014
Practical Three-Way Calibration,Chemistry 2014
The UX Five-Second Rules,Computer Science 2014
Power Generation Technologies (Second Edition),Energy 2014
Renewable Energy Systems (Second Edition),Energy 2014
Reliability of Large and Complex Systems (Second Edition),Engineering 2014
Pattern Recognition and Signal Analysis in Medical Imaging (Second Edition),Engineering 2014
Low Cost Emergency Water Purification Technologies,Engineering 2014
Friction Stir Processing for Enhanced Low Temperature Formability,Engineering 2014
Cleaning with Solvents: Methods and Machinery,Engineering 2014
Alternative Fuels and Advanced Vehicle Technologies for Improved Environmental Performance,Engineering 2014
Workplace Security Essentials,"Forensics, Security, and Criminal Justice 2014"
Toxicological Aspects of Drug-Facilitated Crimes,"Forensics, Security, and Criminal Justice 2014"
Digital Video Surveillance and Security (Second Edition),"Forensics, Security, and Criminal Justice 2014"
Smart Sensors and Mems,Materials Science 2014
Silk Biomaterials for Tissue Engineering and Regenerative Medicine,Materials Science 2014
High Temperature Polymer Blends,Materials Science 2014
Extended Finite Element Method,Mathematics 2014
Polymer Extrusion (Fifth Edition),Plastics Engineering Hanser 2014
Advances in Non-Volatile Memory and Storage Technology,Computer Science 2014
"Earthquake Hazard, Risk and Disasters",Earth and Planetary Sciences 2014
Solar Energy in Buildings,Energy 2014
Structural Health Monitoring with Piezoelectric Wafer Active Sensors (Second Edition),Engineering 2014
Natural Gas Hydrates (Third Edition),Engineering 2014
High Entropy Alloys,Materials Science 2014
Silicon-On-Insulator (SOI) Technology,Materials Science 2014
Omega-3 Fatty Acids in Brain and Neurological Health,Neuroscience 2014
Applied Dermatotoxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Academic Press Library in Signal Processing: Volume 2,Engineering 2014
Academic Press Library in Signal Processing: Volume 4,Engineering 2014
Academic Press Library in Signal Processing: Volume 1,Engineering 2014
Academic Press Library in Signal Processing: Volume 3,Engineering 2014
Subsea Pipeline Integrity and Risk Management,Engineering 2014
Internal Photoemission Spectroscopy (Second Edition),Materials Science 2014
Dental Implant Prosthetics (Second Edition),Health Professions 2014
Traditional Chinese Medicine Cupping Therapy (Third Edition),Health Professions 2014
Public Health Mini-Guides: Alcohol Misuse,Health Professions 2014
Scully's Medical Problems in Dentistry (Seventh Edition),Health Professions 2014
Color Atlas of Dental Implant Surgery (Fourth Edition),Health Professions 2014
Small Animal Critical Care Medicine (Second Edition),Veterinary Medicine 2014
Robinson's Current Therapy in Equine Medicine (Seventh Edition),Veterinary Medicine 2014
"Fowler's Zoo and Wild Animal Medicine, Volume 8",Veterinary Medicine 2014
Earthquakes and Coseismic Surface Faulting on the Iranian Plateau,Earth and Planetary Sciences 2014
Milk Proteins (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
